"","taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","category"
"5746",15643,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","GALAGIDAE","Otolemur","Otolemur crassicaudatus","LC"
"5747",15644,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","GALAGIDAE","Otolemur","Otolemur garnettii","LC"
"5855",15932,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","HOMINIDAE","Pan","Pan paniscus","EN"
"5856",15933,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","HOMINIDAE","Pan","Pan troglodytes","EN"
"5857",15935,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","HOMINIDAE","Pan","Pan troglodytes ssp. verus","CR"
"5858",15936,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","HOMINIDAE","Pan","Pan troglodytes ssp. troglodytes","EN"
"5859",15937,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","HOMINIDAE","Pan","Pan troglodytes ssp. schweinfurthii","EN"
"5908",16018,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Papio","Papio papio","NT"
"5909",16019,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Papio","Papio hamadryas","LC"
"5910",16022,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Papio","Papio ursinus","LC"
"6290",16872,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CHEIROGALEIDAE","Phaner","Phaner furcifer","VU"
"6291",16873,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CHEIROGALEIDAE","Phaner","Phaner parienti","EN"
"6292",16874,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CHEIROGALEIDAE","Phaner","Phaner pallescens","EN"
"6293",16875,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CHEIROGALEIDAE","Phaner","Phaner electromontis","EN"
"6455",17402,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","PITHECIIDAE","Pithecia","Pithecia aequatorialis","LC"
"6456",17407,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","PITHECIIDAE","Pithecia","Pithecia milleri","DD"
"6653",17975,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","HOMINIDAE","Pongo","Pongo pygmaeus","CR"
"6679",18125,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Presbytis","Presbytis comata","EN"
"6680",18126,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Presbytis","Presbytis femoralis","NT"
"6681",18127,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Presbytis","Presbytis frontata","VU"
"6682",18128,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Presbytis","Presbytis hosei","VU"
"6683",18129,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Presbytis","Presbytis melalophos","EN"
"6684",18130,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Presbytis","Presbytis potenziani","EN"
"6685",18131,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Presbytis","Presbytis rubicunda","LC"
"6686",18132,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Presbytis","Presbytis thomasi","VU"
"6687",18134,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Presbytis","Presbytis siamensis","NT"
"6753",18245,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Procolobus","Procolobus verus","VU"
"6754",18247,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Piliocolobus","Piliocolobus badius ssp. temminckii","EN"
