taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,category
12703,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Malacomys,Malacomys edwardsi,LC
12704,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Malacomys,Malacomys longipes,LC
12712,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,NESOMYIDAE,Malacothrix,Malacothrix typica,LC
12721,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Mallomys,Mallomys aroaensis,LC
12722,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Mallomys,Mallomys gunung,EN
12723,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Mallomys,Mallomys istapantap,LC
12724,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Mallomys,Mallomys rothschildi,LC
12726,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,OSPHRONEMIDAE,Malpulutta,Malpulutta kretseri,EN
12740,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CAMAENIDAE,Mandarina,Mandarina anijimana,DD
12741,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CAMAENIDAE,Mandarina,Mandarina aureola,DD
12742,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CAMAENIDAE,Mandarina,Mandarina chichijimana,DD
12743,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CAMAENIDAE,Mandarina,Mandarina exoptata,DD
12744,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CAMAENIDAE,Mandarina,Mandarina hahajimana,DD
12745,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CAMAENIDAE,Mandarina,Mandarina hirasei,DD
12746,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CAMAENIDAE,Mandarina,Mandarina mandarina,DD
12747,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CAMAENIDAE,Mandarina,Mandarina polita,DD
12748,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CAMAENIDAE,Mandarina,Mandarina ponderosa,DD
12749,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CAMAENIDAE,Mandarina,Mandarina suenoae,DD
12750,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CAMAENIDAE,Mandarina,Mandarina luhuana,DD
12751,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,Barbodes resimus,CR
12753,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Mandrillus,Mandrillus leucophaeus,EN
12754,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Mandrillus,Mandrillus sphinx,VU
12755,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Mandrillus,Mandrillus leucophaeus ssp. poensis,EN
12756,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CERCOPITHECIDAE,Mandrillus,Mandrillus leucophaeus ssp. leucophaeus,EN
12759,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Manica,Manica parasitica,VU
12761,ANIMALIA,CHORDATA,MAMMALIA,PHOLIDOTA,MANIDAE,Manis,Manis crassicaudata,EN
12762,ANIMALIA,CHORDATA,MAMMALIA,PHOLIDOTA,MANIDAE,Smutsia,Smutsia gigantea,EN
12763,ANIMALIA,CHORDATA,MAMMALIA,PHOLIDOTA,MANIDAE,Manis,Manis javanica,CR
12764,ANIMALIA,CHORDATA,MAMMALIA,PHOLIDOTA,MANIDAE,Manis,Manis pentadactyla,CR
12765,ANIMALIA,CHORDATA,MAMMALIA,PHOLIDOTA,MANIDAE,Smutsia,Smutsia temminckii,VU
12766,ANIMALIA,CHORDATA,MAMMALIA,PHOLIDOTA,MANIDAE,Phataginus,Phataginus tetradactyla,VU
12767,ANIMALIA,CHORDATA,MAMMALIA,PHOLIDOTA,MANIDAE,Phataginus,Phataginus tricuspis,EN
12774,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Manouria,Manouria emys,CR
12775,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Manouria,Manouria impressa,VU
12776,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Mantella,Mantella aurantiaca,CR
12795,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Margaretamys,Margaretamys beccarii,DD
12796,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Margaretamys,Margaretamys elegans,NT
12797,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Margaretamys,Margaretamys parvus,DD
12798,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,MARGARITIFERIDAE,Margaritifera,Margaritifera auricularia,CR
12799,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,MARGARITIFERIDAE,Margaritifera,Margaritifera margaritifera,EN
12800,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,MARGARITIFERIDAE,Margaritifera,Margaritifera marrianae,EN
12802,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,MARGARITIFERIDAE,Margaritifera,Margaritifera margaritifera ssp. durrovensis,CR
12803,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONOIDA,MARGARITIFERIDAE,Margaritifera,Margaritifera hembeli,CR
12807,ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,MARGINELLIDAE,Marginella,Marginella chalmersi,DD
12808,ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,MARGINELLIDAE,Marginella,Marginella gemma,DD
